,name,id,ingredients,nutrition,minutes,score
46,cream   of pumpkin or squash soup  vegan,164526.0,"['pumpkin puree', 'vegetable broth', 'small red potato', 'green bell pepper', 'celery', 'red onion', 'smooth cashew butter', 'banana', 'apple', 'salt', 'ground red pepper', 'fresh cilantro leaves', 'pumpkin seeds', 'pesto sauce']","[89.3, 0.0, 35.0, 0.0, 4.0, 0.0, 7.0]",30.0,0.220
47,ambrosia salad  fruit salad,224753.0,"['mandarin oranges', 'pineapple chunks', 'oranges', 'green apple', 'red apple', 'plain nonfat yogurt', 'sugar', 'salt', 'flaked coconut', 'mini marshmallows']","[197.2, 3.0, 151.0, 2.0, 5.0, 6.0, 15.0]",20.0,0.217
48,allergen free mini cupcakes,426211.0,"['gluten-free flour', 'baking powder', 'sugar', 'banana', 'olive oil', 'rice milk', 'vanilla extract', 'flax seed', 'water']","[452.7, 45.0, 130.0, 8.0, 3.0, 20.0, 15.0]",35.0,0.217
49,a   p spanish bar cake,77976.0,"['yellow cake mix', 'apple pie filling', 'eggs', 'apple pie spice', 'ground cloves', 'raisins', 'walnuts', 'cream cheese', 'butter', 'dark corn syrup', 'orange rind', ""confectioners' sugar""]","[7873.5, 506.0, 3337.0, 227.0, 178.0, 654.0, 399.0]",70.0,0.215
50,allergy friendly trail mix,181297.0,"['dried banana', 'dried cranberries', 'sunflower seeds', 'carob chips']","[82.9, 7.0, 17.0, 0.0, 4.0, 2.0, 3.0]",5.0,0.215
51,a bit of everything chicken salad,116389.0,"['chicken breast', 'spinach', 'lettuce', 'red grapes', 'cherry tomatoes', 'apple', 'orange', 'cashews', 'sunflower seeds', 'raisins', 'green onions', 'lemon juice', 'honey', 'cayenne pepper', 'salt', 'poppy seeds', 'dijon mustard', 'olive oil']","[783.8, 78.0, 156.0, 23.0, 66.0, 44.0, 18.0]",25.0,0.214
52,abc bread,249847.0,"['eggs', 'sugar', 'olive oil', 'applesauce', 'banana', 'carrot', 'cinnamon', 'allspice', 'baking powder', 'baking soda', 'vanilla', 'whole wheat flour']","[2646.0, 183.0, 852.0, 58.0, 71.0, 89.0, 126.0]",80.0,0.213
53,afghan salad dressing,395373.0,"['mayonnaise', 'yogurt', 'dried mint', 'apple cider', 'water', 'salt', 'pepper']","[238.8, 30.0, 17.0, 29.0, 2.0, 16.0, 4.0]",5.0,0.210
54,amaranth  with tomato type sauce,190911.0,"['amaranth', 'water', 'spinach', 'tomatoes', 'mushroom', 'oregano', 'garlic clove', 'onion', 'salt', 'pepper']","[224.6, 6.0, 16.0, 3.0, 22.0, 4.0, 13.0]",40.0,0.206
55,2 x 2 cottage cheese smoothie,214264.0,"['banana', 'peach', 'skim milk', 'cottage cheese', 'vanilla extract', 'almond extract', 'splenda sugar substitute']","[335.2, 6.0, 91.0, 17.0, 41.0, 12.0, 17.0]",5.0,0.205
56,aeden s apple spice almond cookies  scd,434443.0,"['apple', 'butter', 'honey', 'egg', 'almond flour', 'ground cinnamon', 'ground nutmeg', 'baking soda', 'salt']","[69.0, 8.0, 19.0, 3.0, 0.0, 16.0, 1.0]",70.0,0.202
57,alton brown s bananas foster,100547.0,"['unsalted butter', 'dark brown sugar', 'ground allspice', 'nutmeg', 'banana liqueur', 'bananas', 'dark rum']","[378.4, 18.0, 164.0, 0.0, 2.0, 37.0, 18.0]",12.0,0.201
58,2 point play,290008.0,"['sour apple schnapps', 'absolut vodka']","[65.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.0,0.199
59,a tasty little tofu treat,315982.0,"['soft tofu', 'smooth peanut butter', 'honey', 'vanilla', 'banana', 'oatmeal', 'cocoa powder', 'ice']","[380.2, 22.0, 115.0, 3.0, 32.0, 14.0, 17.0]",5.0,0.198
60,almond flour banana pancakes,454825.0,"['eggs', 'splenda sugar substitute', 'vanilla extract', 'banana', 'plain nonfat yogurt', 'baking soda', 'baking powder', 'salt', 'almond flour', 'flour']","[166.3, 5.0, 33.0, 23.0, 16.0, 6.0, 8.0]",20.0,0.197
61,almost apple pie for one,221305.0,"['apple', 'flour', 'cinnamon', 'nutmeg', 'splenda sugar substitute', 'light margarine']","[82.5, 0.0, 57.0, 0.0, 1.0, 0.0, 7.0]",25.0,0.196
